# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       8.111774765760e+13       1.148693483460e-25       5.713445716538e-09       1.419684111497e+22       1.415027915038e+04       1.744412235176e-10       1.147838773405e+18       3.298857335026e-09       1.191358877859e+44       1.329292818356e+33       7.133068122875e+33       2.705654095717e+43       9.018846985723e+42       3.449766788309e-08       5.535786889219e+43       2.015502976437e+44       2.015502976437e+44       6.718343254507e+43      -4.703249510460e+52       2.335720723649e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831478209e-25       5.753463483416e-09       1.400015296595e+22       1.415027915038e+04       1.756623120822e-10       1.139859755119e+18       3.321949336371e-09       1.158576521413e+44       1.301763969194e+33       6.985346602302e+33       2.631203215606e+43       8.770677385354e+42       3.449766788309e-08       5.383459876442e+43       1.960042830701e+44       1.960042830701e+44       6.533476102059e+43      -4.542036984104e+52       2.413578081104e-06       4.624405211493e+00 
       7.999391317146e+13       1.181196195647e-25       5.793481250294e-09       1.380618980538e+22       1.415027915038e+04       1.768919482668e-10       1.131936201707e+18       3.345202981725e-09       1.126696229756e+44       1.274805225826e+33       6.840684304950e+33       2.558800983753e+43       8.529336612510e+42       3.449766788309e-08       5.235324412091e+43       1.906108769421e+44       1.906108769421e+44       6.353695897801e+43      -4.386350313563e+52       2.491435438559e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790820999e-25       5.835318006575e-09       1.361491388028e+22       1.415027915038e+04       1.781301919046e-10       1.124067727614e+18       3.368619402597e-09       1.095693180972e+44       1.248404781704e+33       6.699017876160e+33       2.488391027961e+43       8.294636759870e+42       3.449766788309e-08       5.091265158264e+43       1.853658799674e+44       1.853658799674e+44       6.178862665313e+43      -4.236000089966e+52       2.569292796014e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618584243e-25       5.875335773453e-09       1.342628796072e+22       1.415027915038e+04       1.793771032480e-10       1.116253949964e+18       3.392199738415e-09       1.065543236164e+44       1.222551074790e+33       6.560285273308e+33       2.419918527213e+43       8.066395090712e+42       3.449766788309e-08       4.951169950783e+43       1.802652084041e+44       1.802652084041e+44       6.008840279878e+43      -4.090803396781e+52       2.647150153469e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682760733e-25       5.917172529735e-09       1.324027533257e+22       1.415027915038e+04       1.806327429707e-10       1.108494488545e+18       3.415945136584e-09       1.036222920661e+44       1.197232782488e+33       6.424425738635e+33       2.353330168993e+43       7.844433896642e+42       3.449766788309e-08       4.814929711871e+43       1.753048908823e+44       1.753048908823e+44       5.843496362491e+43      -3.950583587274e+52       2.725007510924e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986671839e-25       5.957190296613e-09       1.305683979036e+22       1.415027915038e+04       1.818971721715e-10       1.100788965784e+18       3.439856752540e-09       1.007709405738e+44       1.172438816685e+33       6.291379772639e+33       2.288574107769e+43       7.628580359230e+42       3.449766788309e-08       4.682438365218e+43       1.704810653111e+44       1.704810653111e+44       5.682702176789e+43      -3.815170069606e+52       2.802864868379e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533685591e-25       5.999027052894e-09       1.287594563020e+22       1.415027915038e+04       1.831704523767e-10       1.093137006737e+18       3.463935749807e-09       9.799804908440e+43       1.148158318897e+33       6.161089108019e+33       2.225599924634e+43       7.418666415448e+42       3.449766788309e-08       4.553592753391e+43       1.657899758720e+44       1.657899758720e+44       5.526332528822e+43      -3.684398099284e+52       2.880722225834e-06       3.874501663683e+00 
       7.671496989756e+13       1.284327217340e-25       6.040863809176e-09       1.269755764288e+22       1.415027915038e+04       1.844526455433e-10       1.085538239064e+18       3.488183300056e-09       9.530145863146e+43       1.124380655513e+33       6.033496684150e+33       2.164358588048e+43       7.214528626826e+42       3.449766788309e-08       4.428292557519e+43       1.612279700943e+44       1.612279700943e+44       5.374265669571e+43      -3.558108578738e+52       2.958579583288e-06       3.772541093587e+00 
       7.618169801148e+13       1.302370730416e-25       6.084519554861e-09       1.252164110697e+22       1.415027915038e+04       1.857438140621e-10       1.077992293012e+18       3.512600583156e-09       9.267906965640e+43       1.101095413135e+33       5.908546622100e+33       2.104802415657e+43       7.016008052188e+42       3.449766788309e-08       4.306440219182e+43       1.567914960118e+44       1.567914960118e+44       5.226383200159e+43      -3.436147863758e+52       3.036436940743e-06       3.675809270674e+00 
